="",="(1)",="(2)",="(3)"
="",="Student's average level (0-4)",="Student's average level (0-4)",="Student's average level (0-4)"
="Phone + SMS",="0.121",="",=""
="",="(0.046)",="",=""
="",="[0.008]",="",=""
="",="{0.031 to 0.210}",="",=""
="Phone + SMS - Per Session",="",="0.028",=""
="",="",="(0.010)",=""
="",="",="[0.007]",=""
="",="",="{0.008 to 0.048}",=""
="Phone + SMS - All Sessions",="",="",="0.167"
="",="",="",="(0.062)"
="",="",="",="[0.007]"
="",="",="",="{0.046 to 0.289}"
="Observations",="2815",="1878",="1878"
