="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Student's average level (0-4)",="Innumerate",="Division",="Student got place value problem correct",="Student got fraction problem correct"
="SMS Only",="0.030",="-0.010",="0.011",="0.004",="0.021"
="",="(0.057)",="(0.013)",="(0.020)",="(0.019)",="(0.021)"
="",="[0.602]",="[0.460]",="[0.594]",="[0.837]",="[0.309]"
="",="{-0.083 to 0.142}",="{-0.035 to 0.016}",="{-0.028 to 0.049}",="{-0.034 to 0.042}",="{-0.019 to 0.061}"
="Phone + SMS",="0.150",="-0.029",="0.050",="0.049",="0.034"
="",="(0.057)",="(0.012)",="(0.020)",="(0.019)",="(0.021)"
="",="[0.008]",="[0.022]",="[0.013]",="[0.009]",="[0.100]"
="",="{0.039 to 0.262}",="{-0.053 to -0.004}",="{0.010 to 0.090}",="{0.012 to 0.085}",="{-0.006 to 0.074}"
="Control Mean",="2.459",="0.093",="0.235",="0.759",="0.721"
="Strata Fixed Effects",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="2815",="2815",="2815",="2881",="2751"
="p-val: SMS = Phone",="0.033",="0.121",="0.053",="0.017",="0.528"
