="",="(1)",="(2)",="(3)"
="",="Student's average level (0-4)",="Student's average level (0-4)",="Student's average level (0-4)"
="SMS Only",="0.094",="0.175",="0.391"
="",="(0.085)",="(0.294)",="(0.773)"
="",="[0.267]",="[0.551]",="[0.613]"
="",="{-0.072 to 0.260}",="{-0.401 to 0.752}",="{-1.125 to 1.907}"
="Phone + SMS",="0.196",="0.140",="0.079"
="",="(0.084)",="(0.293)",="(0.787)"
="",="[0.020]",="[0.633]",="[0.920]"
="",="{0.031 to 0.361}",="{-0.434 to 0.714}",="{-1.464 to 1.622}"
="Female",="0.204",="",=""
="",="(0.081)",="",=""
="",="[0.012]",="",=""
="",="{0.045 to 0.363}",="",=""
="SMS Only # Female",="-0.130",="",=""
="",="(0.115)",="",=""
="",="[0.259]",="",=""
="",="{-0.356 to 0.096}",="",=""
="Phone + SMS # Female",="-0.109",="",=""
="",="(0.114)",="",=""
="",="[0.340]",="",=""
="",="{-0.333 to 0.115}",="",=""
="Enrolled grade",="",="0.476",=""
="",="",="(0.051)",=""
="",="",="[0.000]",=""
="",="",="{0.376 to 0.576}",=""
="SMS Only # Enrolled grade",="",="-0.036",=""
="",="",="(0.071)",=""
="",="",="[0.608]",=""
="",="",="{-0.175 to 0.102}",=""
="Phone + SMS # Enrolled grade",="",="-0.000",=""
="",="",="(0.070)",=""
="",="",="[0.995]",=""
="",="",="{-0.138 to 0.137}",=""
="School Performance",="",="",="-0.001"
="",="",="",="(0.002)"
="",="",="",="[0.597]"
="",="",="",="{-0.005 to 0.003}"
="SMS Only # School Performance",="",="",="-0.001"
="",="",="",="(0.003)"
="",="",="",="[0.625]"
="",="",="",="{-0.007 to 0.004}"
="Phone + SMS # School Performance",="",="",="0.000"
="",="",="",="(0.003)"
="",="",="",="[0.973]"
="",="",="",="{-0.006 to 0.006}"
="Control Mean",="2.459",="2.459",="2.459"
="Observations",="2794",="2795",="2170"
