="",="Child Learning Outcomes",="",="Parent Beliefs and Mechanisms",="",=""
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Student's average level (0-4)",="Student got place value problem correct",="Parent Reported Child Level",="Parent Self Efficacy",="Parent Perception that Child Learned"
="",="b/se/p/pvalues",="b/se/p/pvalues",="b/se/p/pvalues",="b/se/p/pvalues",="b/se/p/pvalues"
="Phone + SMS",="0.120",="0.113",="0.136",="0.086",="0.105"
="",="(0.046)",="(0.044)",="(0.045)",="(0.021)",="(0.022)"
="",="[0.009]",="[0.010]",="[0.002]",="[0.000]",="[0.000]"
="",="{0.020}",="{0.010}",="{0.000}",="{0.000}",="{0.000}"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Student's average level (0-4)",="Student got place value problem correct",="Parent Reported Child Level",="Parent Self Efficacy",="Parent Perception that Child Learned"
="SMS Only",="0.023",="0.009",="0.022",="0.048",="0.066"
="",="(0.046)",="(0.046)",="(0.045)",="(0.021)",="(0.022)"
="",="[0.613]",="[0.845]",="[0.629]",="[0.024]",="[0.002]"
="",="{0.640}",="{0.840}",="{0.600}",="{0.020}",="{0.000}"
