="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Parent Reported Child Level",="Parent Correct about Child Level",="Parent Self Efficacy",="Parent Perception that Child Learned",="Parent Did not Return to Work",="Parent Spent No Time on Education"

="SMS Only",="0.022",="-0.012",="0.049",="0.066",="-0.000",="-0.001"
="",="(0.045)",="(0.023)",="(0.021)",="(0.022)",="(0.018)",="(0.009)"
="",="[0.621]",="[0.594]",="[0.023]",="[0.002]",="[0.994]",="[0.933]"
="",="{-0.065 to 0.110}",="{-0.058 to 0.033}",="{0.007 to 0.091}",="{0.024 to 0.109}",="{-0.034 to 0.034}",="{-0.019 to 0.017}"
="Phone + SMS",="0.136",="0.039",="0.086",="0.105",="-0.029",="-0.002"
="",="(0.045)",="(0.023)",="(0.021)",="(0.022)",="(0.017)",="(0.009)"
="",="[0.002]",="[0.099]",="[0.000]",="[0.000]",="[0.092]",="[0.809]"
="",="{0.049 to 0.224}",="{-0.007 to 0.085}",="{0.044 to 0.129}",="{0.062 to 0.148}",="{-0.063 to 0.005}",="{-0.020 to 0.016}"

="Not Targeted",="0.045",="-0.001",="0.050",="0.071",="-0.010",="-0.003"
="",="(0.045)",="(0.023)",="(0.022)",="(0.022)",="(0.018)",="(0.009)"
="",="[0.323]",="[0.957]",="[0.020]",="[0.001]",="[0.565]",="[0.713]"
="",="{-0.044 to 0.133}",="{-0.047 to 0.045}",="{0.008 to 0.093}",="{0.028 to 0.114}",="{-0.044 to 0.024}",="{-0.021 to 0.015}"
="Targeted",="0.111",="0.028",="0.084",="0.099",="-0.018",="0.000"
="",="(0.044)",="(0.023)",="(0.021)",="(0.022)",="(0.017)",="(0.009)"
="",="[0.012]",="[0.239]",="[0.000]",="[0.000]",="[0.296]",="[0.973]"
="",="{0.025 to 0.198}",="{-0.018 to 0.073}",="{0.042 to 0.125}",="{0.056 to 0.142}",="{-0.052 to 0.016}",="{-0.018 to 0.019}"
="Control Mean",="2.228",="0.398",="0.566",="0.492",="0.190",="0.045"
="Observations",="2957",="2650",="3127",="3127",="2990",="2984"
="p-val: SMS = Phone",="0.009",="0.029",="0.071",="0.075",="0.088",="0.872"
="p-val: Targeted = Not Targeted",="0.128",="0.217",="0.115",="0.194",="0.640",="0.685"
